Identifier,Responsible partner,Version,"Competency Question / Natural language sentence (fact)",Answer (For Competency Questions),Status (Proposed, Accepted, Rejected, Deprecated),Comments,Extracted from,Priority (High, Medium, Low),Relation with other requirements,Associated ontology elements,Relation to ontology elements in other domains
CQ-TEC-02,FEMP,v0.1.0,"¿Cuál es la eficacia luminosa media (lm/W) por tecnología?","SELECT ?tipo (AVG(?flujo/?pot) AS ?eficacia) WHERE { ?l a edintalu:Lampara ; edintalu:tipoLampara ?tipo ; edintalu:flujoLuminoso ?flujo ; edintalu:potenciaNominal ?pot } GROUP BY ?tipo",Accepted,Ningún dataset tiene flujo luminoso,Análisis eficiencia,Medium,CU-06,edintalu:Lampara edintalu:flujoLuminoso edintalu:potenciaNominal qudt:unit,
CQ-TEC-03,FEMP,v0.1.0,"¿Qué farolas tienen eficacia luminosa inferior a X lm/W?","SELECT ?f WHERE { ?l edintalu:flujoLuminoso ?flujo ; edintalu:potenciaNominal ?pot . FILTER(?flujo/?pot < X) }",Accepted,Requiere flujo luminoso,Análisis eficiencia,Medium,CQ-TEC-02,edintalu:Lampara edintalu:flujoLuminoso edintalu:potenciaNominal,
CQ-TEC-04,FEMP,v0.1.0,"¿Qué modelos de luminaria existen y de qué fabricante?","SELECT ?m ?fab WHERE { ?m a edintalu:ModeloLuminaria ; edintalu:fabricadoPor ?fab }",Accepted,491 modelos en Madrid sin fabricante,Dataset Madrid,Medium,CU-06,edintalu:ModeloLuminaria edintalu:Fabricante edintalu:fabricadoPor edintalu:modeloLuminaria,
CQ-EST-01,FEMP,v0.1.0,"¿Cuántas farolas hay en cada estado de conservación por municipio?","SELECT ?mun ?estado (COUNT(?f) AS ?total) WHERE { ?f edintalu:estadoConservacion ?estado ; edintalu:direccion/esdir:municipio ?mun } GROUP BY ?mun ?estado",Accepted,B/R/M en La Palma B/R/M/E en Castellón,Datasets La Palma Castellón,High,CU-03,edintalu:Farola edintalu:estadoConservacion SKOS estado-conservacion,skos:Concept
CQ-EST-02,FEMP,v0.1.0,"¿Qué farolas han superado su vida útil L70?","Farolas donde (currentDate - fechaInstalacion) > vidaUtilL70",Accepted,Ningún dataset tiene fecha instalación ni vida útil,Análisis mantenimiento,Medium,CU-03,edintalu:Lampara edintalu:vidaUtilL70 edintalu:fechaInstalacion,
CQ-LUM-01,FEMP,v0.1.0,"¿Qué farolas superan el FHS máximo para su zona E1-E4?","SELECT ?f WHERE { ?f edintalu:zonaAlumbrado ?zona ; edintalu:luminaria/edintalu:flujoHemisfericoSuperior ?fhs . FILTER(?fhs > fn:umbralFHS(?zona)) }",Accepted,Ningún dataset tiene FHS ni zona,REEAE RD 1890/2008,Medium,CU-07,edintalu:Luminaria edintalu:flujoHemisfericoSuperior edintalu:Farola edintalu:zonaAlumbrado SKOS zona-alumbrado,skos:Concept
CQ-LUM-02,FEMP,v0.1.0,"¿Cuál es la temperatura de color media en zonas residenciales?","SELECT (AVG(?cct) AS ?media) WHERE { ?l edintalu:temperaturaColor ?cct }",Accepted,Ningún dataset tiene CCT,Análisis calidad lumínica,Low,CU-07,edintalu:Lampara edintalu:temperaturaColor qudt:unit,qudt:QuantityValue
CQ-PROP-01,FEMP,v0.1.0,"¿Quién es el propietario de cada farola?","SELECT ?f ?prop WHERE { ?f edintinf:hasRegisteredOwner ?prop }",Accepted,Ningún dataset publicado incluye propietario,OpenCityData v1.0-rc,Medium,CU-01,edintalu:Farola edintinf:hasRegisteredOwner edintinf:Organization,edintinf:InfrastructureElement
FAC-01,FEMP,v0.1.0,"Una farola tiene exactamente un poste",Hecho,Accepted,Cardinalidad 1,OpenCityData v1.0-rc,High,,edintalu:poste (Farola → Poste),
FAC-02,FEMP,v0.1.0,"Una farola puede tener una o más luminarias",Hecho,Accepted,Cardinalidad 1..n,OpenCityData v1.0-rc,High,,edintalu:luminaria (Farola → Luminaria),
FAC-03,FEMP,v0.1.0,"Cada luminaria aloja exactamente una lámpara",Hecho,Accepted,Cardinalidad 1,OpenCityData v1.0-rc,High,,edintalu:tieneLampara (Luminaria → Lampara),
FAC-04,FEMP,v0.1.0,"Una farola puede tener opcionalmente una caja de conexiones",Hecho,Accepted,Cardinalidad 0..1,OpenCityData v1.0-rc,High,,edintalu:caja (Farola → Caja),
FAC-05,FEMP,v0.1.0,"Una farola depende de un centro de mando",Hecho,Accepted,Campo Nº_de_cent en La Palma (CM-001..CM-043),Dataset La Palma,High,CQ-ELEC-01,edintalu:centroDeMando (Farola → CentroDeMando),
FAC-06,FEMP,v0.1.0,"Un centro de mando tiene un suministro eléctrico",Hecho,Accepted,Tarifa y tensión,Datasets Arganda La Palma,High,CQ-ELEC-01,edintalu:tieneSuministro (CentroDeMando → SuministroElectrico),
FAC-07,FEMP,v0.1.0,"Un centro de mando agrupa múltiples farolas",Hecho,Accepted,Inversa de centroDeMando,Dataset La Palma,High,,edintalu:CentroDeMando edintalu:centroDeMando,
FAC-08,FEMP,v0.1.0,"Una luminaria puede referenciar un modelo de catálogo",Hecho,Accepted,491 modelos en Madrid,Dataset Madrid,Medium,CQ-TEC-04,edintalu:modeloLuminaria (Luminaria → ModeloLuminaria),
FAC-09,FEMP,v0.1.0,"La potencia se expresa en vatios con qudt:unit",Hecho,Accepted,Normalización de unidades,Análisis comparativo datasets,High,,edintalu:potenciaNominal qudt:unit,qudt:QuantityValue
FAC-10,FEMP,v0.1.0,"La potencia puede venir en W o kW y debe normalizarse",Hecho,Accepted,La Palma W Castellón kW,Datasets La Palma Castellón,High,,qudt:unit qudt:W qudt:KiloW,qudt:QuantityValue
FAC-11,FEMP,v0.1.0,"Una farola puede disponer de reductor de flujo en la luminaria o al inicio",Hecho,Accepted,ahorro_rfl y ahorro_rfi en Castellón,Dataset Castellón EIEL,High,CQ-ENER-05,edintalu:disponeReductorFlujo edintalu:ReductorFlujo,
FAC-12,FEMP,v0.1.0,"Una farola tiene dirección postal y coordenadas geográficas",Hecho,Accepted,Todos los datasets con geo,Todos los datasets,High,,edintalu:Farola edintalu:direccion geosparql:hasGeometry,esdir:DireccionPostal geosparql:Geometry
FAC-13,FEMP,v0.1.0,"Un poste puede tener uno o más brazos",Hecho,Accepted,OpenCityData v1.0-rc,OpenCityData v1.0-rc,Medium,,edintalu:numeroDeBrazos (Poste xsd:integer),
FAC-14,FEMP,v0.1.0,"Una farola mixta LED-DESCARGA se modela con múltiples luminarias",Hecho,Accepted,0.6% de farolas en Madrid son mixtas,Dataset Madrid,Medium,,edintalu:luminaria cardinalidad 1..n,
FAC-15,FEMP,v0.1.0,"El estado de conservación usa SKOS de 5 niveles",Hecho,Accepted,B/R/M/E en Castellón EIEL,Datasets Castellón La Palma,High,,edintalu:estadoConservacion SKOS estado-conservacion,skos:Concept
FAC-16,FEMP,v0.1.0,"La zona de alumbrado se clasifica E1-E4 según REEAE",Hecho,Accepted,REEAE RD 1890/2008,Regulación REEAE,Medium,CQ-LUM-01,edintalu:zonaAlumbrado SKOS zona-alumbrado,skos:Concept
